"Name","Computation Approach","Computation Structure JSON","Configuration Level","Fleeti Field","Fleeti Field Data Type","Fleeti Field Path","Fleeti Field Unit","Mapping Type","Notes","Provider","Provider Field (db)","Provider Field Unit","Provider Fields","Status","Version Added","ðŸ’½ YAML Configurations (db)"
"counters.engine_hours_value from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"counters.engine_hours_last_updated_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"counters.odometer_value from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"counters.odometer_last_updated_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"sensors.magnet from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"driver.driver_name from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"driver.driver_key from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"diagnostics.dtc_count from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"diagnostics.dtc_status from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"diagnostics.dtc_codes from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"power.remaining_range from Navixy","","","default","","","","","direct","","navixy","","","","planned","",""
"fuel.fuel_tank_level_value from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"fuel.fuel_tank_level_last_updated_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"fuel.fuel_consumption_cumulative from Navixy","","","default","","","","","prioritized","","navixy","","","","planned","",""
"metadata.ongoing_trip_started_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"metadata.ongoing_trip_mileage from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"metadata.ongoing_trip_waypoints from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
